company_type,role,aspice_status,iso26262_experience,iso26262_adoption,iso26262_parts,iso26262_drv_technical_safety,iso26262_drv_2nd_party_accountability,iso26262_drv_3rd_party_accountability,iso26262_drv_contract_requirements,iso26262_drv_industry_conformity,iso26262_safety_improvement,iso26262_operational_burden,iso26262_cost_effectiveness,iso26262_role_upper_requirements,iso26262_role_validation,iso26262_role_detailed_design,iso26262_role_implementation,iso26262_role_integration,iso26262_certification,iso26262_comments,sotif_adoption,sotif_drv_technical_safety,sotif_drv_2nd_party_accountability,sotif_drv_3rd_party_accountability,sotif_drv_contract_requirements,sotif_drv_industry_conformity,sotif_safety_improvement,sotif_operational_burden,sotif_cost_effectiveness,sotif_role_upper_requirements,sotif_role_validation,sotif_role_detailed_design,sotif_role_implementation,sotif_role_integration,sotif_boundary_clarity,sotif_comments,ul4600_adoption,ul4600_drv_technical_safety,ul4600_drv_2nd_party_accountability,ul4600_drv_3rd_party_accountability,ul4600_drv_contract_requirements,ul4600_drv_industry_conformity,ul4600_safety_improvement,ul4600_operational_burden,ul4600_cost_effectiveness,ul4600_role_upper_requirements,ul4600_role_validation,ul4600_role_detailed_design,ul4600_role_implementation,ul4600_role_integration,ul4600_boundary_clarity,ul4600_comments,assurance_case_usage,assurance_case_method,assurance_case_comments,multi_standard_challenges,multi_standard_policy,multi_standard_comments,jaspar_wg_comments
Tier 1 supplier,Engineer,Not operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 7/8/9(Production/Support/Safety Analysis),4.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,Unknown,It is difficult to permeate ISO 26262 compliance into development sites; we feel there is a barrier.,Considering,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,Considering for ISO 26262,Unknown,,Terminology confusion; Requirement overlap; Scope understanding; Cross-department coordination,No clear policy,"We appreciate that guidelines are provided, but we often find it challenging to get our organization to recognize the necessity of compliance.",
OEM,Safety assessor,Not operating,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis),4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,No plans for certification,,Preparing,4.0,2.0,4.0,1.0,4.0,,,,2.0,,,,,2.0,,Considering,,,,,,,,,,,,,,,,Considering for SOTIF,,,Document integration; Cross-department coordination,ISO 26262 as foundation,,
Tier 2+ supplier,Quality assurance,Not operating,5+ years,In use,Part 2(Safety Management); Part 5(Hardware Development); Part 7/8/9(Production/Support/Safety Analysis),4.0,2.0,4.0,5.0,5.0,2.0,5.0,2.0,,,,,,Process certification obtained,,No plan,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,No plans,,,Requirement overlap; Document integration; Cross-department coordination; Customer requirement differences; Scope understanding,Unknown,,
Tier 1 supplier,Engineer,Preparing,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,4.0,5.0,4.0,No plans for certification,"Time has passed since initial adoption and processes have become established. However, the number of safety standards requiring compliance (CS, SOTIF, etc.) continues to increase. We are struggling with how to streamline functional safety activities without making them superficial.",Considering,,,,,,,,,,,,,,,,Considering,,,,,,,,,,,,,,,,No plans,,"We think it is good to have, but the effort required to create assurance cases is expected to be enormous. We should not casually transplant aerospace and plant concepts to the automotive industry, but as SDVs and autonomous driving become commonplace, the automotive landscape is changing.",No challenges,"We recognize they are similar yet different from the perspective of safety analysis and assessment. Rather than blindly separating them, process integration is necessary.","If we become exhausted by standards compliance, we expect to fall behind other countries (especially China, which we understand has many proprietary standards). We expect JASPAR to lead activities that build the foundation for efficient vehicle manufacturing processes across Japan.",
Tier 1 & Tier 2,Corporate FuSa promotion,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),2.0,2.0,2.0,5.0,2.0,4.0,5.0,3.0,1.0,1.0,4.0,5.0,3.0,Process certification obtained,"Understanding at the field level, among managers and project leaders, has not progressed, placing a heavy burden on safety managers.",No plan,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,Using for ISO 26262,Plain documents (Word etc.),"Some OEMs only require a list of deliverables. When we create assurance cases, we want to know how much and how our submissions are actually utilized by customers.",Not using multiple standards,Not using multiple standards concurrently,We do not use multiple standards concurrently.,
Tier 1 supplier,Safety assessor,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,4.0,Process certification obtained,Training of functional safety assessors.,Considering,,,,,,,,,,,,,,,,Considering,,,,,,,,,,,,,,,,Using for ISO 26262,SysML/SafeML modeling; Plain documents (Word etc.),,Requirement overlap; Terminology confusion; Priority judgment; Document integration; Customer requirement differences; Scope understanding,ISO 26262 as foundation,,
Tier 1 supplier,Safety assessor,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles); Part 3(Concept Phase),5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,No plans for certification,,Preparing,5.0,5.0,5.0,5.0,5.0,,,,,,,,,2.0,,No plan,,,,,,,,,,,,,,,,Unknown,Unknown,,Cross-department coordination,Independent per standard,,
Tier 1 supplier,Quality assurance,Operating,1-3 years,In use,Part 5(Hardware Development); Part 4(System Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis),3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,Process certification obtained,"OEMs tell us to comply, but they are slow to issue upper-level safety requirements.",Considering,,,,,,,,,,,,,,,,Considering,,,,,,,,,,,,,,,,No plans,,,Requirement overlap,Unknown,,
OEM,Engineer,Preparing,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 6(Software Development); Part 5(Hardware Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,No plans for certification,,No plan,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,No plans,Plain documents (Word etc.),,No challenges,No clear policy,,
OEM,Engineer,Not operating,3-5 years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 7/8/9(Production/Support/Safety Analysis),2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,No plans for certification,,In use,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,,No plan,,,,,,,,,,,,,,,,Using for ISO 26262; Using for SOTIF,Plain documents (Word etc.),,Requirement overlap; Priority judgment; Scope understanding,Independent per standard,,
Tier 1 supplier,Quality assurance,Not operating,5+ years,In use,Part 2(Safety Management); Part 7/8/9(Production/Support/Safety Analysis); Part 6(Software Development); Part 4(System Development); Part 5(Hardware Development),3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,1.0,2.0,3.0,4.0,3.0,Both obtained,,Preparing,2.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,,Considering,,,,,,,,,,,,,,,,Using for ISO 26262; Considering for SOTIF,Plain documents (Word etc.),,Requirement overlap; Priority judgment; Cross-department coordination; Customer requirement differences,No clear policy,,
Tier 1 supplier,Development manager,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles); Part 3(Concept Phase),4.0,5.0,4.0,5.0,4.0,,,,2.0,3.0,5.0,5.0,4.0,No plans for certification,,Preparing,5.0,4.0,3.0,4.0,2.0,2.0,,4.0,2.0,4.0,5.0,5.0,4.0,3.0,,No plan,,,,,,,,,,,,,,,,No plans,Unknown,,Terminology confusion; Customer requirement differences,ISO 26262 as foundation,,
Tier 2+ supplier,Standards/process,Operating,3-5 years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis),4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,Process certification obtained,"There is a strong awareness of compliance as responding to customer requirements, and we face pushback from development teams who say they will not do things not explicitly written in the standard.",Preparing,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,"Since intended functionality requirements are OEM-driven, most SOTIF compliance is OEM-led, and understanding of SOTIF necessity on the supplier side has not progressed.",Considering,,,,,,,,,,,,,,,,Considering for ISO 26262,GSN/CAE graphical notation,,Customer requirement differences; Cross-department coordination,ISO 26262 as foundation,"When requirements specify only one standard is necessary, compliance with others may become incomplete.",
OEM,Engineer,Operating,5+ years,In use,Part 6(Software Development); Part 5(Hardware Development); Part 4(System Development),5.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,3.0,4.0,2.0,Unknown,"The burden due to the large volume of work is significant. While we understand the opinion that SOTIF and CS should be handled separately, the burden multiplies, so we want to reduce it. The areas covered by functional safety are considered baseline quality in Japan.",In use,2.0,5.0,5.0,2.0,4.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,"Our perception is that currently, analyzing SOTIF does not yield many new discoveries; rather, it is a standard for properly documenting and explaining QM-level design that was previously left to individual company judgment.",Considering,,,,,,,,,,,,,,,,Using for ISO 26262; Using for SOTIF,SysML/SafeML modeling; Plain documents (Word etc.),We believe the major challenge in safety analysis is improving reusability through formalization. Promoting specific notations like SysML within the company or industry would directly reduce the overall burden.,Requirement overlap; Terminology confusion; Document integration,Developing integrated approach,"Safety-related standards ultimately trace back to Guide 51, and treating each independently only increases the burden. Beyond publication order and priority, we need to clarify each standard's role in covering the goal of 'safety'.","Since a wide range of companies including OEMs and suppliers participate, we hope for more discussions that provide guidance on what the industry should do."
Tier 1 supplier,Safety assessor,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,Both obtained,,Preparing,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,,,,,,,,Considering,,,,,,,,,,,,,,,,Using for ISO 26262; Considering for SOTIF; Considering for UL 4600,GSN/CAE graphical notation; SysML/SafeML modeling; Plain documents (Word etc.),,Requirement overlap; Terminology confusion; Priority judgment; Document integration; Cross-department coordination; Customer requirement differences; Scope understanding,ISO 26262 as foundation,,
OEM,Quality assurance,Preparing,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 7/8/9(Production/Support/Safety Analysis); Part 6(Software Development),5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0,Unknown,,Preparing,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,1.0,3.0,5.0,3.0,1.0,,No plan,,,,,,,,,,,,,,,,Unknown; Considering for SOTIF,GSN/CAE graphical notation,,Requirement overlap; Terminology confusion; Priority judgment; Document integration; Cross-department coordination,Developing integrated approach,,
Tier 1 supplier,Development manager,Not operating,5+ years,No plan,,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,No plans,,,Compliance sequencing,ISO 26262 as foundation,,
OEM,Safety assessor,Operating,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),3.0,,5.0,,3.0,3.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,No plans for certification,"We have no choice but to comply because it is state of the art, but as development speed continues to increase, effective and efficient measures are required. We hope the 3rd Edition will take a more practical approach.",Preparing,3.0,,5.0,,3.0,3.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,,Considering,,,,,,,,,,,,,,,,Using for ISO 26262,Plain documents (Word etc.),,Requirement overlap; Terminology confusion,ISO 26262 as foundation,"As the number of safety standards requiring compliance increases, we want to explore how to address them effectively and efficiently.",We need to escape the development situation of being overwhelmed by standards compliance.
Tier 1 supplier,Safety assessor,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,Process certification obtained,,Preparing,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,,Preparing,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,3.0,,Considering for ISO 26262,GSN/CAE graphical notation; Plain documents (Word etc.),,Document integration; Scope understanding; Priority judgment,ISO 26262 as foundation,,
OEM,Engineer,,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 10/11/12(Guidelines/Semiconductors/Motorcycles); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis),5.0,3.0,5.0,,3.0,4.0,5.0,4.0,1.0,1.0,4.0,4.0,2.0,No plans for certification,,Preparing,5.0,3.0,4.0,,3.0,,,,1.0,1.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,Using for ISO 26262,Plain documents (Word etc.),,Scope understanding,Independent per standard,,
Tier 1 supplier,Safety assessor,Preparing,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,5.0,5.0,4.0,No plans for certification,"The burden of creating work products is heavy. Also, since OEMs issue safety requirements separately from product requirements, alignment requires significant effort.",Preparing,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,,,,,,,,No plan,,,,,,,,,,,,,,,,Unknown,,,Requirement overlap; Terminology confusion; Priority judgment; Scope understanding,ISO 26262 as foundation,,
OEM,Development manager,Not operating,5+ years,Considering,,,,,,,,,,,,,,,,,Considering,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,No plans,Plain documents (Word etc.),,No challenges,Independent per standard,,
Tier 1 supplier,Safety assessor,Not operating,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,Both obtained,,Preparing,5.0,5.0,5.0,5.0,4.0,,,,,,,,,2.0,,No plan,,,,,,,,,,,,,,,,Using for ISO 26262,Plain documents (Word etc.),,Scope understanding,Sometimes built on ISO 26262 or added to existing QM foundation.,,
Tier 1 supplier,Safety assessor,Operating,5+ years,In use,Part 2(Safety Management); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,Product certification obtained,"The burden on development departments is also heavy, with insufficient resources and slow progress in human resource development. It is difficult to determine the threshold of what constitutes sufficient compliance.",Preparing,4.0,4.0,4.0,3.0,3.0,,,,,,,,,,"Not yet required by OEMs, and it is unclear which systems and products fall under its scope.",No plan,,,,,,,,,,,,,,,,No plans,GSN/CAE graphical notation; Plain documents (Word etc.),,Requirement overlap; Terminology confusion; Document integration; Cross-department coordination,Developing integrated approach,,We want continued activities in collaboration with standards-related organizations to make it easier to introduce and operate standards in the field.
Tier 1 supplier,Safety assessor,Operating,1-3 years,In use,Part 2(Safety Management); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis),4.0,,,,4.0,,,,,,,,,Process certification obtained,,Preparing,4.0,,,,,,,,,,,,,,,Considering,,,,,,,,,,,,,,,,Unknown,,,Document integration,Developing integrated approach,,
Tier 1 supplier,Consultant,Operating,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 5(Hardware Development); Part 4(System Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2.0,2.0,4.0,4.0,3.0,No plans for certification,,In use,5.0,5.0,5.0,5.0,4.0,4.0,4.0,,2.0,2.0,3.0,3.0,3.0,1.0,,No plan,,,,,,,,,,,,,,,,Using for ISO 26262,SysML/SafeML modeling; Plain documents (Word etc.),,Priority judgment; Document integration; Cross-department coordination; Customer requirement differences; Scope understanding,Developing integrated approach,,
OEM,Development manager,Not operating,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,1.0,5.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,3.0,4.0,1.0,No plans for certification,,Preparing,2.0,1.0,4.0,3.0,3.0,,,,,,,,,,"Since it is not clearly required by regulations, it is difficult to promote internally.",No plan,,,,,,,,,,,,,,,,No plans,,,Terminology confusion,No clear policy,,
Tier 1 supplier,Engineer,Operating,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,Process certification obtained,,Preparing,,,,,,,,,,,,,,,,No plan,,,,,,,,,,,,,,,,No plans,,We do not currently feel the necessity. We would consider it if required or if the benefits are demonstrated and understood.,No challenges,Independent per standard,"We feel there is a mismatch with Japanese manufacturing, where safe design is already standard practice. We value JASPAR's efforts to adapt these standards for Japan and look forward to continued activities.",
Tier 1 supplier,Engineer,Operating,5+ years,In use,Part 4(System Development); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,Process certification obtained,,Preparing,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,Preparing,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,Unknown,Unknown,,Document integration; Requirement overlap; Customer requirement differences; Scope understanding,No clear policy,,
OEM,Safety assessor,Preparing,5+ years,In use,Part 2(Safety Management); Part 3(Concept Phase); Part 4(System Development); Part 5(Hardware Development); Part 6(Software Development); Part 7/8/9(Production/Support/Safety Analysis); Part 10/11/12(Guidelines/Semiconductors/Motorcycles),5.0,1.0,5.0,1.0,5.0,5.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,No plans for certification,"We want to focus on the essence of systems engineering, but end up spending all our time creating work products.",Preparing,2.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,"We fundamentally believe the same products can be made without this standard. The descriptions are very abstract, and the primary motivation is for explaining to third parties.",Considering,,,,,,,,,,,,,,,,Using for ISO 26262,GSN/CAE graphical notation,We cannot deny the feeling that we are still creating them primarily for accountability purposes.,Scope understanding; Requirement overlap,Independent per standard,"ISO 26262 and SOTIF are completely independent documents. UL 4600 has parts closely related to both ISO 26262 and SOTIF, so we want to enable sharing of respective work products.","Although functional safety is essentially composed of systems engineering concepts, there is a perception in Japan that they are separate things. We hope this WG can help bridge that gap in understanding."
